age1,percent1,age2,percent2
"[0,5)",10.18068689,ENN,0.040802107
"[5,10)",9.677325318,LNN,0.121276112
"[10,15)",8.952609678,PNN,1.916163425
"[15,20)",8.382858071,"[1,5)",8.102445249
"[20,25)",8.01707612,"[5,10)",9.677325318
"[25,30)",7.778732811,"[10,15)",8.952609678
"[30,35)",7.331586983,"[15,20)",8.382858071
"[35,40)",6.775951151,"[20,25)",8.01707612
"[40,45)",6.089034035,"[25,30)",7.778732811
"[45,50)",5.465811837,"[30,35)",7.331586983
"[50,55)",4.873621621,"[35,40)",6.775951151
"[55,60)",4.251640217,"[40,45)",6.089034035
"[60,65)",3.5961672,"[45,50)",5.465811837
"[65,70)",2.914902912,"[50,55)",4.873621621
"[70,75)",2.130279933,"[55,60)",4.251640217
"[75,80)",1.608333391,"[60,65)",3.5961672
"[80,85)",1.078423497,"[65,70)",2.914902912
"[85,Inf)",0.894958331,"[70,75)",2.130279933
,,"[75,80)",1.608333391
,,"[80,85)",1.078423497
,,"[85,90)",0.603162091
,,"[90,95)",0.234261019
,,"[95,Inf)",0.057535221
